Autism 
Autism 
Aristotle 
Aristotle Metaphysics
fuck this shit
wish no bug
hello my world
hello myDepth 0
world myDepth -1
wtf you saying
wtf youDepth 0
saying youDepth -1

world my wtf
wtf myDepth -1
world my wtf
wtf myDepth -1
wtf my army
army myDepth wtf-1
army my smile
smile myDepth -1
army my smile
smile myDepth -1
army my smile
smile myDepth -1
army my smile
smile myDepth -1
army my smile
smile myDepth -1
army my smile
smile myDepth -1
army my smile
smile myDepth -1
army my smile
smile myDepth wtf-2
Korean my army
Korean my wtf
Korean myDepth wtf+1
